"";"exercicio";"instituicao";"cod_ibge";"uf";"anexo";"rotulo";"coluna";"cod_conta";"conta";"valor";"populacao";"cod_interno"
"4057";2018;"Prefeitura Municipal de Jiquiriçá - BA";2918209;"BA";"DCA-Anexo I-C";"Padrão";"Receitas Brutas Realizadas";"TotalReceitas";"Total Receitas";35080328,74;15071;"TotalReceitas"
"4058";2018;"Prefeitura Municipal de Jiquiriçá - BA";2918209;"BA";"DCA-Anexo I-C";"Padrão";"Deduções - FUNDEB";"TotalReceitas";"Total Receitas";3451287,86;15071;"TotalReceitas"
"4059";2018;"Prefeitura Municipal de Jitaúna - BA";2918308;"BA";"DCA-Anexo I-C";"Padrão";"Receitas Brutas Realizadas";"TotalReceitas";"Total Receitas";39817129,28;12985;"TotalReceitas"
"4060";2018;"Prefeitura Municipal de Jitaúna - BA";2918308;"BA";"DCA-Anexo I-C";"Padrão";"Deduções - Transferências Constitucionais";"TotalReceitas";"Total Receitas";2905900,64;12985;"TotalReceitas"
"4061";2018;"Prefeitura Municipal de João Dourado - BA";2918357;"BA";"DCA-Anexo I-C";"Padrão";"Receitas Brutas Realizadas";"TotalReceitas";"Total Receitas";57058854,85;25431;"TotalReceitas"
"4062";2018;"Prefeitura Municipal de João Dourado - BA";2918357;"BA";"DCA-Anexo I-C";"Padrão";"Deduções - FUNDEB";"TotalReceitas";"Total Receitas";5035290,24;25431;"TotalReceitas"
"4063";2018;"Prefeitura Municipal de Juazeiro - BA";2918407;"BA";"DCA-Anexo I-C";"Padrão";"Receitas Brutas Realizadas";"TotalReceitas";"Total Receitas";619806904,34;220253;"TotalReceitas"
"4064";2018;"Prefeitura Municipal de Juazeiro - BA";2918407;"BA";"DCA-Anexo I-C";"Padrão";"Deduções - FUNDEB";"TotalReceitas";"Total Receitas";33301661,81;220253;"TotalReceitas"
"4065";2018;"Prefeitura Municipal de Jucuruçu - BA";2918456;"BA";"DCA-Anexo I-C";"Padrão";"Receitas Brutas Realizadas";"TotalReceitas";"Total Receitas";27648340,39;10032;"TotalReceitas"
"4066";2018;"Prefeitura Municipal de Jucuruçu - BA";2918456;"BA";"DCA-Anexo I-C";"Padrão";"Deduções - FUNDEB";"TotalReceitas";"Total Receitas";2576526,92;10032;"TotalReceitas"
"4067";2018;"Prefeitura Municipal de Jussara - BA";2918506;"BA";"DCA-Anexo I-C";"Padrão";"Receitas Brutas Realizadas";"TotalReceitas";"Total Receitas";38229773,09;16006;"TotalReceitas"
"4068";2018;"Prefeitura Municipal de Jussari - BA";2918555;"BA";"DCA-Anexo I-C";"Padrão";"Receitas Brutas Realizadas";"TotalReceitas";"Total Receitas";24988330,89;6275;"TotalReceitas"
"4069";2018;"Prefeitura Municipal de Jussari - BA";2918555;"BA";"DCA-Anexo I-C";"Padrão";"Deduções - FUNDEB";"TotalReceitas";"Total Receitas";2104637,42;6275;"TotalReceitas"
"4070";2018;"Prefeitura Municipal de Jussiape - BA";2918605;"BA";"DCA-Anexo I-C";"Padrão";"Receitas Brutas Realizadas";"TotalReceitas";"Total Receitas";21705006,41;7239;"TotalReceitas"
"4071";2018;"Prefeitura Municipal de Jussiape - BA";2918605;"BA";"DCA-Anexo I-C";"Padrão";"Deduções - FUNDEB";"TotalReceitas";"Total Receitas";2218383,4;7239;"TotalReceitas"
"4072";2018;"Prefeitura Municipal de Lafaiete Coutinho - BA";2918704;"BA";"DCA-Anexo I-C";"Padrão";"Receitas Brutas Realizadas";"TotalReceitas";"Total Receitas";22158057,52;3996;"TotalReceitas"
"4073";2018;"Prefeitura Municipal de Lafaiete Coutinho - BA";2918704;"BA";"DCA-Anexo I-C";"Padrão";"Deduções - Transferências Constitucionais";"TotalReceitas";"Total Receitas";2097480,56;3996;"TotalReceitas"
"4074";2018;"Prefeitura Municipal de Lagoa Real - BA";2918753;"BA";"DCA-Anexo I-C";"Padrão";"Receitas Brutas Realizadas";"TotalReceitas";"Total Receitas";34382795,87;15920;"TotalReceitas"
"4075";2018;"Prefeitura Municipal de Lagoa Real - BA";2918753;"BA";"DCA-Anexo I-C";"Padrão";"Deduções - FUNDEB";"TotalReceitas";"Total Receitas";3425988,58;15920;"TotalReceitas"
"4076";2018;"Prefeitura Municipal de Laje - BA";2918803;"BA";"DCA-Anexo I-C";"Padrão";"Receitas Brutas Realizadas";"TotalReceitas";"Total Receitas";59753302,92;24112;"TotalReceitas"
"4077";2018;"Prefeitura Municipal de Laje - BA";2918803;"BA";"DCA-Anexo I-C";"Padrão";"Deduções - FUNDEB";"TotalReceitas";"Total Receitas";5051485,33;24112;"TotalReceitas"
"4078";2018;"Prefeitura Municipal de Lajedão - BA";2918902;"BA";"DCA-Anexo I-C";"Padrão";"Receitas Brutas Realizadas";"TotalReceitas";"Total Receitas";20155989,65;4046;"TotalReceitas"
"4079";2018;"Prefeitura Municipal de Lajedão - BA";2918902;"BA";"DCA-Anexo I-C";"Padrão";"Deduções - FUNDEB";"TotalReceitas";"Total Receitas";2469912,53;4046;"TotalReceitas"
"4080";2018;"Prefeitura Municipal de Lajedinho - BA";2919009;"BA";"DCA-Anexo I-C";"Padrão";"Receitas Brutas Realizadas";"TotalReceitas";"Total Receitas";18496415,68;4032;"TotalReceitas"
"4081";2018;"Prefeitura Municipal de Lajedinho - BA";2919009;"BA";"DCA-Anexo I-C";"Padrão";"Deduções - Transferências Constitucionais";"TotalReceitas";"Total Receitas";2118713,31;4032;"TotalReceitas"
"4082";2018;"Prefeitura Municipal de Lajedo do Tabocal - BA";2919058;"BA";"DCA-Anexo I-C";"Padrão";"Receitas Brutas Realizadas";"TotalReceitas";"Total Receitas";23267033,23;8862;"TotalReceitas"
"4083";2018;"Prefeitura Municipal de Lajedo do Tabocal - BA";2919058;"BA";"DCA-Anexo I-C";"Padrão";"Deduções - FUNDEB";"TotalReceitas";"Total Receitas";2209435,24;8862;"TotalReceitas"
"4084";2018;"Prefeitura Municipal de Lajedo do Tabocal - BA";2919058;"BA";"DCA-Anexo I-C";"Padrão";"Outras Deduções da Receita";"TotalReceitas";"Total Receitas";3793,31;8862;"TotalReceitas"
"4085";2018;"Prefeitura Municipal de Lamarão - BA";2919108;"BA";"DCA-Anexo I-C";"Padrão";"Receitas Brutas Realizadas";"TotalReceitas";"Total Receitas";23901043,4;9099;"TotalReceitas"
"4086";2018;"Prefeitura Municipal de Lamarão - BA";2919108;"BA";"DCA-Anexo I-C";"Padrão";"Deduções - FUNDEB";"TotalReceitas";"Total Receitas";2059795,23;9099;"TotalReceitas"
"4087";2018;"Prefeitura Municipal de Lapão - BA";2919157;"BA";"DCA-Anexo I-C";"Padrão";"Receitas Brutas Realizadas";"TotalReceitas";"Total Receitas";95884831,41;28166;"TotalReceitas"
"4088";2018;"Prefeitura Municipal de Lapão - BA";2919157;"BA";"DCA-Anexo I-C";"Padrão";"Deduções - FUNDEB";"TotalReceitas";"Total Receitas";4890312,96;28166;"TotalReceitas"
"4089";2018;"Prefeitura Municipal de Lauro de Freitas - BA";2919207;"BA";"DCA-Anexo I-C";"Padrão";"Receitas Brutas Realizadas";"TotalReceitas";"Total Receitas";557726635,78;194641;"TotalReceitas"
"4090";2018;"Prefeitura Municipal de Lauro de Freitas - BA";2919207;"BA";"DCA-Anexo I-C";"Padrão";"Deduções - FUNDEB";"TotalReceitas";"Total Receitas";37923593,65;194641;"TotalReceitas"
"4091";2018;"Prefeitura Municipal de Lauro de Freitas - BA";2919207;"BA";"DCA-Anexo I-C";"Padrão";"Outras Deduções da Receita";"TotalReceitas";"Total Receitas";189346,23;194641;"TotalReceitas"
"4092";2018;"Prefeitura Municipal de Lençóis - BA";2919306;"BA";"DCA-Anexo I-C";"Padrão";"Receitas Brutas Realizadas";"TotalReceitas";"Total Receitas";26367093,76;11544;"TotalReceitas"
"4093";2018;"Prefeitura Municipal de Licínio de Almeida - BA";2919405;"BA";"DCA-Anexo I-C";"Padrão";"Receitas Brutas Realizadas";"TotalReceitas";"Total Receitas";31769658,61;12967;"TotalReceitas"
"4094";2018;"Prefeitura Municipal de Licínio de Almeida - BA";2919405;"BA";"DCA-Anexo I-C";"Padrão";"Deduções - FUNDEB";"TotalReceitas";"Total Receitas";2901023,63;12967;"TotalReceitas"
"4095";2018;"Prefeitura Municipal de Livramento de Nossa Senhora - BA";2919504;"BA";"DCA-Anexo I-C";"Padrão";"Receitas Brutas Realizadas";"TotalReceitas";"Total Receitas";102438254,2;46399;"TotalReceitas"
"4096";2018;"Prefeitura Municipal de Livramento de Nossa Senhora - BA";2919504;"BA";"DCA-Anexo I-C";"Padrão";"Deduções - FUNDEB";"TotalReceitas";"Total Receitas";7947700,48;46399;"TotalReceitas"
"4097";2018;"Prefeitura Municipal de Luís Eduardo Magalhães - BA";2919553;"BA";"DCA-Anexo I-C";"Padrão";"Receitas Brutas Realizadas";"TotalReceitas";"Total Receitas";395349053,37;81730;"TotalReceitas"
"4098";2018;"Prefeitura Municipal de Luís Eduardo Magalhães - BA";2919553;"BA";"DCA-Anexo I-C";"Padrão";"Deduções - FUNDEB";"TotalReceitas";"Total Receitas";34616667,04;81730;"TotalReceitas"
"4099";2018;"Prefeitura Municipal de Macajuba - BA";2919603;"BA";"DCA-Anexo I-C";"Padrão";"Receitas Brutas Realizadas";"TotalReceitas";"Total Receitas";32764863,7;11878;"TotalReceitas"
"4100";2018;"Prefeitura Municipal de Macajuba - BA";2919603;"BA";"DCA-Anexo I-C";"Padrão";"Deduções - FUNDEB";"TotalReceitas";"Total Receitas";2771505,94;11878;"TotalReceitas"
"4101";2018;"Prefeitura Municipal de Macarani - BA";2919702;"BA";"DCA-Anexo I-C";"Padrão";"Receitas Brutas Realizadas";"TotalReceitas";"Total Receitas";25278688,99;18954;"TotalReceitas"
"4102";2018;"Prefeitura Municipal de Macarani - BA";2919702;"BA";"DCA-Anexo I-C";"Padrão";"Outras Deduções da Receita";"TotalReceitas";"Total Receitas";4122270,27;18954;"TotalReceitas"
"4103";2018;"Prefeitura Municipal de Macaúbas - BA";2919801;"BA";"DCA-Anexo I-C";"Padrão";"Receitas Brutas Realizadas";"TotalReceitas";"Total Receitas";101816661,97;50637;"TotalReceitas"
"4104";2018;"Prefeitura Municipal de Macaúbas - BA";2919801;"BA";"DCA-Anexo I-C";"Padrão";"Deduções - FUNDEB";"TotalReceitas";"Total Receitas";7681475,36;50637;"TotalReceitas"
"4105";2018;"Prefeitura Municipal de Macururé - BA";2919900;"BA";"DCA-Anexo I-C";"Padrão";"Receitas Brutas Realizadas";"TotalReceitas";"Total Receitas";36373665,3;8288;"TotalReceitas"
"4106";2018;"Prefeitura Municipal de Macururé - BA";2919900;"BA";"DCA-Anexo I-C";"Padrão";"Deduções - FUNDEB";"TotalReceitas";"Total Receitas";2407367,75;8288;"TotalReceitas"
"4107";2018;"Prefeitura Municipal de Madre de Deus - BA";2919926;"BA";"DCA-Anexo I-C";"Padrão";"Receitas Brutas Realizadas";"TotalReceitas";"Total Receitas";171995123,75;20689;"TotalReceitas"
"4108";2018;"Prefeitura Municipal de Madre de Deus - BA";2919926;"BA";"DCA-Anexo I-C";"Padrão";"Deduções - FUNDEB";"TotalReceitas";"Total Receitas";18862212,64;20689;"TotalReceitas"
"4109";2018;"Prefeitura Municipal de Madre de Deus - BA";2919926;"BA";"DCA-Anexo I-C";"Padrão";"Outras Deduções da Receita";"TotalReceitas";"Total Receitas";19356,69;20689;"TotalReceitas"
"4110";2018;"Prefeitura Municipal de Maetinga - BA";2919959;"BA";"DCA-Anexo I-C";"Padrão";"Receitas Brutas Realizadas";"TotalReceitas";"Total Receitas";23818482,59;4796;"TotalReceitas"
